17:20:19.982 Connecting to ESP32-2-10s ...
17:20:21.335 Connected
17:35:46.755 sensor_2_10s_5m -> 23.5 C | 3.28 V
17:35:56.215 sensor_2_10s_5m -> 23.5 C | 3.33 V
17:36:07.798 sensor_2_10s_5m -> 23.5 C | 3.32 V
17:36:16.713 sensor_2_10s_5m -> 23.5 C | 3.32 V
17:36:27.212 sensor_2_10s_5m -> 23.5 C | 3.27 V
17:36:37.211 sensor_2_10s_5m -> 23.5 C | 3.31 V
17:36:47.711 sensor_2_10s_5m -> 23.5 C | 3.29 V
17:36:57.711 sensor_2_10s_5m -> 23.5 C | 3.31 V
17:37:08.212 sensor_2_10s_5m -> 23.5 C | 3.28 V
17:37:18.211 sensor_2_10s_5m -> 23.5 C | 3.29 V
17:37:28.929 sensor_2_10s_5m -> 23.5 C | 3.29 V
17:37:38.710 sensor_2_10s_5m -> 23.5 C | 3.28 V
17:37:48.712 sensor_2_10s_5m -> 23.5 C | 3.28 V
17:37:59.211 sensor_2_10s_5m -> 23.5 C | 3.23 V
17:38:09.214 sensor_2_10s_5m -> 23.5 C | 3.28 V
17:38:19.711 sensor_2_10s_5m -> 23.5 C | 3.27 V
17:38:30.212 sensor_2_10s_5m -> 23.5 C | 3.27 V
17:38:40.735 sensor_2_10s_5m -> 23.5 C | 3.25 V
17:38:50.213 sensor_2_10s_5m -> 23.5 C | 3.26 V
17:39:00.715 sensor_2_10s_5m -> 23.4 C | 3.24 V
17:39:10.711 sensor_2_10s_5m -> 23.5 C | 3.25 V
17:39:20.711 sensor_2_10s_5m -> 23.4 C | 3.25 V
17:39:31.211 sensor_2_10s_5m -> 23.5 C | 3.24 V
17:39:41.211 sensor_2_10s_5m -> 23.4 C | 3.24 V
17:39:51.713 sensor_2_10s_5m -> 23.4 C | 3.23 V
17:40:01.712 sensor_2_10s_5m -> 23.4 C | 3.18 V
17:40:12.214 sensor_2_10s_5m -> 23.4 C | 3.21 V
17:40:22.711 sensor_2_10s_5m -> 23.4 C | 3.22 V
17:40:32.714 sensor_2_10s_5m -> 23.4 C | 3.20 V
