21:23:16.460 esp_3_10s_5m -> 22.4 C | pin34= 1845 | Bat = 3.48 V
21:23:26.959 esp_3_10s_5m -> 22.4 C | pin34= 1841 | Bat = 3.49 V
21:23:37.463 esp_3_10s_5m -> 22.4 C | pin34= 1847 | Bat = 3.48 V
21:23:47.460 esp_3_10s_5m -> 22.4 C | pin34= 1849 | Bat = 3.46 V
21:23:57.461 esp_3_10s_5m -> 22.4 C | pin34= 1842 | Bat = 3.48 V
21:24:08.461 esp_3_10s_5m -> 22.4 C | pin34= 1845 | Bat = 3.28 V
21:24:17.960 esp_3_10s_5m -> 22.4 C | pin34= 1846 | Bat = 3.48 V
21:24:27.959 esp_3_10s_5m -> 22.4 C | pin34= 1845 | Bat = 3.48 V
21:24:38.460 esp_3_10s_5m -> 22.4 C | pin34= 1843 | Bat = 3.48 V
21:24:48.460 esp_3_10s_5m -> 22.4 C | pin34= 1840 | Bat = 3.47 V
21:24:58.960 esp_3_10s_5m -> 22.4 C | pin34= 1843 | Bat = 3.48 V
21:25:08.959 esp_3_10s_5m -> 22.4 C | pin34= 1840 | Bat = 3.46 V
21:25:19.460 esp_3_10s_5m -> 22.4 C | pin34= 1845 | Bat = 3.25 V
21:25:29.459 esp_3_10s_5m -> 22.4 C | pin34= 1843 | Bat = 3.46 V
21:25:39.960 esp_3_10s_5m -> 22.4 C | pin34= 1849 | Bat = 3.44 V
21:25:49.959 esp_3_10s_5m -> 22.4 C | pin34= 1847 | Bat = 3.48 V
21:26:00.460 esp_3_10s_5m -> 22.4 C | pin34= 1846 | Bat = 3.48 V
21:26:10.459 esp_3_10s_5m -> 22.4 C | pin34= 1843 | Bat = 3.48 V
21:26:20.960 esp_3_10s_5m -> 22.4 C | pin34= 1846 | Bat = 3.50 V
21:26:30.960 esp_3_10s_5m -> 22.4 C | pin34= 1842 | Bat = 3.30 V
21:26:40.960 esp_3_10s_5m -> 22.4 C | pin34= 1843 | Bat = 3.48 V
21:26:51.460 esp_3_10s_5m -> 22.4 C | pin34= 1840 | Bat = 3.47 V
21:27:01.460 esp_3_10s_5m -> 22.4 C | pin34= 1842 | Bat = 3.47 V
21:27:11.959 esp_3_10s_5m -> 22.4 C | pin34= 1843 | Bat = 3.42 V
21:27:21.960 esp_3_10s_5m -> 22.4 C | pin34= 1841 | Bat = 3.45 V
21:27:32.460 esp_3_10s_5m -> 22.4 C | pin34= 1840 | Bat = 3.40 V
21:27:42.960 esp_3_10s_5m -> 22.4 C | pin34= 1843 | Bat = 3.28 V
21:27:52.460 esp_3_10s_5m -> 22.4 C | pin34= 1838 | Bat = 3.44 V
21:28:02.962 esp_3_10s_5m -> 22.4 C | pin34= 1840 | Bat = 3.44 V
21:28:12.963 esp_3_10s_5m -> 22.4 C | pin34= 1840 | Bat = 3.44 V
21:28:23.459 esp_3_10s_5m -> 22.4 C | pin34= 1842 | Bat = 3.46 V
21:28:33.460 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.45 V
21:28:43.962 esp_3_10s_5m -> 22.5 C | pin34= 1754 | Bat = 3.36 V
21:28:53.960 esp_3_10s_5m -> 22.5 C | pin34= 1745 | Bat = 3.38 V
21:29:04.460 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.40 V
21:29:14.460 esp_3_10s_5m -> 22.5 C | pin34= 1841 | Bat = 3.45 V
21:29:24.960 esp_3_10s_5m -> 22.5 C | pin34= 1841 | Bat = 3.41 V
21:29:34.960 esp_3_10s_5m -> 22.5 C | pin34= 1841 | Bat = 3.44 V
21:29:44.960 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.45 V
21:29:55.463 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.46 V
21:30:05.460 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.47 V
21:30:15.960 esp_3_10s_5m -> 22.5 C | pin34= 1746 | Bat = 3.36 V
21:30:25.960 esp_3_10s_5m -> 22.5 C | pin34= 1842 | Bat = 3.46 V
21:30:36.482 esp_3_10s_5m -> 22.5 C | pin34= 1842 | Bat = 3.42 V
21:30:46.458 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.45 V
21:30:56.961 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.40 V
21:31:06.960 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.44 V
21:31:16.961 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.45 V
21:31:27.460 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.42 V
21:31:37.460 esp_3_10s_5m -> 22.5 C | pin34= 1742 | Bat = 3.39 V
21:31:47.962 esp_3_10s_5m -> 22.4 C | pin34= 1840 | Bat = 3.44 V
21:31:57.960 esp_3_10s_5m -> 22.4 C | pin34= 1840 | Bat = 3.45 V
21:32:08.460 esp_3_10s_5m -> 22.4 C | pin34= 1837 | Bat = 3.45 V
21:32:18.460 esp_3_10s_5m -> 22.5 C | pin34= 1840 | Bat = 3.43 V
21:32:28.960 esp_3_10s_5m -> 22.4 C | pin34= 1727 | Bat = 3.21 V
21:32:38.960 esp_3_10s_5m -> 22.5 C | pin34= 1837 | Bat = 3.44 V
21:32:49.459 esp_3_10s_5m -> 22.5 C | pin34= 1839 | Bat = 3.39 V
